summary_time,moor_num,berth_num,stay_num,moor_dwt,berth_dwt,stay_dwt,total_wait_duration,total_berth_duration,total_stay_duration
2021-02-06 00:00:00+08,8,11,19,655168,1181014,1836182,477.71,674.11,1151.82
2021-02-06 04:00:00+08,7,12,19,604539,1251371,1855910,523.21,606.99,1130.2
2021-02-06 08:00:00+08,6,12,18,530062,1251371,1781433,534.58,654.99,1189.57
2021-02-06 12:00:00+08,5,12,17,402986,1216198,1619184,497.85,651.34,1149.19
2021-02-06 16:00:00+08,4,10,14,376175,993075,1369250,499.35,454.75,954.1
2021-02-06 20:00:00+08,4,14,18,376175,1158881,1535056,685.71,360.01,1045.72
2021-02-07 00:00:00+08,6,12,18,625506,1014637,1640143,787.95,380.53,1168.48
2021-02-07 04:00:00+08,6,13,19,625506,1048328,1673834,811.92,431.21,1243.13
2021-02-07 08:00:00+08,6,12,18,625506,1005458,1630964,709.21,362.63,1071.84
2021-02-07 12:00:00+08,4,11,15,376175,954829,1331004,560.3,383.44,943.74
2021-02-07 16:00:00+08,4,9,13,376175,723120,1099295,504.92,200.3,705.22
2021-02-07 20:00:00+08,4,11,15,376175,1121780,1497955,574.43,191.07,765.5
2021-02-08 00:00:00+08,5,11,16,460946,1136562,1597508,590.64,229.88,820.52
2021-02-08 04:00:00+08,6,11,17,562764,1136562,1699326,614.43,273.88,888.31
2021-02-08 08:00:00+08,6,9,15,562764,932351,1495115,638.44,231.88,870.32
2021-02-08 12:00:00+08,5,9,14,447064,1009072,1456136,605.1,236.07,841.17
2021-02-08 16:00:00+08,4,8,12,393925,906770,1300695,500.76,206.73,707.49
2021-02-08 20:00:00+08,4,9,13,393925,948533,1342458,538.2,192.22,730.42
2021-02-09 00:00:00+08,4,11,15,393925,1067503,1461428,554.24,234.81,789.05
2021-02-09 04:00:00+08,2,11,13,186589,1067503,1254092,333.31,278.81,612.12
2021-02-09 08:00:00+08,2,13,15,186589,1274839,1461428,583.28,325.77,909.05
2021-02-09 12:00:00+08,2,10,12,186589,1088314,1274903,591.2,255.55,846.75
2021-02-09 16:00:00+08,1,11,12,101818,1234528,1336346,559.01,296.54,855.55
2021-02-09 20:00:00+08,1,11,12,101818,1243933,1345751,563.03,318.28,881.31
2021-02-10 00:00:00+08,2,12,14,203350,1328704,1532054,612.75,365.13,977.88
2021-02-10 04:00:00+08,5,11,16,430505,1275565,1706070,538.21,380.84,919.05
2021-02-10 08:00:00+08,5,12,17,430505,1314648,1745153,558.21,425.79,984
2021-02-10 12:00:00+08,5,11,16,430505,1210803,1641308,578.23,407.31,985.54
2021-02-10 16:00:00+08,5,9,14,430505,984691,1415196,528.94,350.71,879.65
2021-02-10 20:00:00+08,5,9,14,430505,984691,1415196,548.94,386.71,935.65
2021-02-11 00:00:00+08,5,12,17,430505,1189292,1619797,543.89,386.48,930.37
2021-02-11 04:00:00+08,4,12,16,328973,1189292,1518265,535.53,434.48,970.01
2021-02-11 08:00:00+08,3,10,13,238339,1109634,1347973,495.2,325.66,820.86
2021-02-11 12:00:00+08,3,10,13,255368,1096600,1351968,358.35,314.9,673.25
2021-02-11 16:00:00+08,4,10,14,408888,1096600,1505488,372.32,354.9,727.22
2021-02-11 20:00:00+08,5,10,15,517194,1096600,1613794,391.28,394.9,786.18
2021-02-12 00:00:00+08,3,9,12,255368,993993,1249361,298.34,319.29,617.63
2021-02-12 04:00:00+08,4,10,14,323355,1109047,1432402,333.71,253.73,587.44
2021-02-12 08:00:00+08,3,10,13,221537,1109047,1330584,245.93,293.73,539.66
2021-02-12 12:00:00+08,3,10,13,221537,1162459,1383996,364.99,241.63,606.62
2021-02-12 16:00:00+08,3,9,12,221537,1040321,1261858,339.83,237.54,577.37
2021-02-12 20:00:00+08,3,11,14,221537,1213270,1434807,351.8,152.59,504.39
2021-02-13 00:00:00+08,3,11,14,221537,1170236,1391773,332.16,155.77,487.93
2021-02-13 04:00:00+08,3,11,14,255683,1165422,1421105,242.65,160.76,403.41
2021-02-13 08:00:00+08,4,10,14,404406,1021973,1426379,281.89,142.07,423.96
2021-02-13 12:00:00+08,4,11,15,404406,1121979,1526385,297.89,184.97,482.86
2021-02-13 16:00:00+08,3,9,12,301545,984051,1285596,260.1,188.79,448.89
2021-02-13 20:00:00+08,3,11,14,301545,1156731,1458276,329.84,204.23,534.07
2021-02-14 00:00:00+08,3,12,15,301545,1154678,1456223,328.85,249.38,578.23
2021-02-14 04:00:00+08,5,13,18,567726,1258346,1826072,345.47,299.93,645.4
2021-02-14 08:00:00+08,5,12,17,567726,1172526,1740252,365.47,320.27,685.74
2021-02-14 12:00:00+08,5,12,17,567726,1214298,1782024,385.49,354.92,740.41
2021-02-14 16:00:00+08,3,8,11,334168,964296,1298464,149.17,260.24,409.41
2021-02-14 20:00:00+08,3,11,14,334168,1210221,1544389,239.27,247.46,486.73
2021-02-15 00:00:00+08,3,12,15,334168,1245242,1579410,251.27,295.89,547.16
2021-02-15 04:00:00+08,4,12,16,352490,1245242,1597732,264.38,343.89,608.27
2021-02-15 08:00:00+08,5,11,16,387961,1145236,1533197,283.86,344.99,628.85
2021-02-15 12:00:00+08,5,9,14,387961,901327,1289288,303.83,279.62,583.45
2021-02-15 16:00:00+08,3,8,11,313491,759971,1073462,188.91,251.07,439.98
2021-02-15 20:00:00+08,3,11,14,313491,994950,1308441,290.69,105.93,396.62
2021-02-16 00:00:00+08,3,12,15,313491,1076197,1389688,302.7,178.29,480.99
2021-02-16 04:00:00+08,3,11,14,313491,1004858,1318349,314.69,193.9,508.59
2021-02-16 08:00:00+08,3,11,14,313491,1002984,1316475,326.69,202.74,529.43
2021-02-16 12:00:00+08,3,10,13,313491,944784,1258275,338.68,206.36,545.04
2021-02-16 16:00:00+08,2,8,10,192547,841627,1034174,231.14,180.08,411.22
2021-02-16 20:00:00+08,2,5,7,192547,548906,741453,201.9,113.62,315.52
2021-02-17 00:00:00+08,3,8,11,308247,789971,1098218,280.46,144.11,424.57
2021-02-17 04:00:00+08,4,9,13,358335,862953,1221288,294.33,176.82,471.15
2021-02-17 08:00:00+08,5,9,14,445953,937382,1383335,314.04,189.29,503.33
2021-02-17 12:00:00+08,5,8,13,397176,903093,1300269,288.66,209.82,498.48
2021-02-17 16:00:00+08,5,7,12,397176,835429,1232605,177.03,153.2,330.23
2021-02-17 20:00:00+08,5,7,12,397176,782700,1179876,197.01,130.7,327.71
2021-02-18 00:00:00+08,4,11,15,288877,1238059,1526936,259.37,176.66,436.03
2021-02-18 04:00:00+08,5,12,17,397898,1346358,1744256,294.95,222.55,517.5
2021-02-18 08:00:00+08,5,11,16,397898,1218998,1616896,314.92,255.65,570.57
2021-02-18 12:00:00+08,5,11,16,397898,1246035,1643933,334.91,288.02,622.93
2021-02-18 16:00:00+08,5,10,15,397898,1164864,1562762,354.91,311.91,666.82
2021-02-18 20:00:00+08,5,7,12,397898,842535,1240433,307.53,144.43,451.96
2021-02-19 00:00:00+08,5,8,13,397898,947617,1345515,327.52,175.32,502.84
2021-02-19 04:00:00+08,5,8,13,397898,947617,1345515,347.52,207.32,554.84
2021-02-19 08:00:00+08,5,7,12,397898,907517,1305415,367.52,215.39,582.91
2021-02-19 12:00:00+08,5,7,12,397898,907517,1305415,387.52,243.39,630.91
2021-02-19 16:00:00+08,5,7,12,397898,907517,1305415,407.52,271.39,678.91
2021-02-19 20:00:00+08,5,7,12,470771,907517,1378288,362.46,299.39,661.85
2021-02-20 00:00:00+08,5,9,14,470771,968336,1439107,382.45,357.83,740.28
2021-02-20 04:00:00+08,4,10,14,347810,1018424,1366234,463.75,397.59,861.34
2021-02-20 08:00:00+08,4,12,16,347810,1175580,1523390,488.79,443.04,931.83
2021-02-20 12:00:00+08,3,10,13,312339,996226,1308565,377.31,381.5,758.81
2021-02-20 16:00:00+08,3,11,14,312339,1031697,1344036,519.03,423.28,942.31
2021-02-20 20:00:00+08,3,12,15,312339,1132081,1444420,515.49,406.18,921.67
2021-02-21 00:00:00+08,3,11,14,312318,1052748,1365066,386.23,355.88,742.11
2021-02-21 04:00:00+08,3,12,15,312318,1148428,1460746,472.73,372.89,845.62
2021-02-21 08:00:00+08,4,11,15,397835,1085428,1483263,487.27,407.48,894.75
2021-02-21 12:00:00+08,4,9,13,397835,917942,1315777,503.26,341.02,844.28
2021-02-21 16:00:00+08,4,8,12,397835,882471,1280306,389.55,351.24,740.79
2021-02-21 20:00:00+08,4,7,11,397835,838833,1236668,405.58,295.06,700.64
2021-02-22 00:00:00+08,4,7,11,328715,838833,1167548,405.33,323.06,728.39
2021-02-22 04:00:00+08,5,8,13,438347,954533,1392880,422.83,354.5,777.33
2021-02-22 08:00:00+08,6,7,13,552236,920338,1472574,446.59,336.82,783.41
2021-02-22 12:00:00+08,6,6,12,552236,797377,1349613,461.5,309.08,770.58
2021-02-22 16:00:00+08,3,5,8,332521,640301,972822,140.58,218.06,358.64
2021-02-22 20:00:00+08,3,8,11,332521,860016,1192537,449.4,242.38,691.78
2021-02-23 00:00:00+08,4,9,13,418038,917336,1335374,503.98,278.33,782.31
2021-02-23 04:00:00+08,3,9,12,308406,917336,1225742,494.55,314.33,808.88
